what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325772437132
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325772437283
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1325772448860
activated,view,org.python.pydev,1.6.3.2010100513,"org.python.pydev.navigator.view",1325772449743
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1325772451942
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325772461234
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1325772464072
activated,view,org.python.pydev,1.6.3.2010100513,"org.python.pydev.navigator.view",1325772464937
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325772480979
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325772483691
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325772487562
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325772510762
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325772515893
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325772525809
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325772526966
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325772534473
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325772541481
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325772551838
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325772555035
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325772563210
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1325772563226
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325772566091
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325772570170
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1325772570185
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1325772572647
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325772572949
