what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325859791805
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325859792334
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325859795587
activated,view,org.python.pydev,1.6.3.2010100513,"org.python.pydev.navigator.view",1325859796400
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325859796605
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1325859797728
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1325859798126
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1325859801588
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1325859802373
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325859805455
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325859808345
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325859811001
executed,command,com.python.pydev.refactoring,1.6.3.2010100513,"org.python.pydev.editor.actions.navigation.pyGoToDefinition",1325859811004
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325859813194
closed,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325859813194
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.close",1325859813199
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1325859814566
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325859817535
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325859853972
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325859858072
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1325859875196
opened,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325859879582
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325859879763
executed,command,com.python.pydev.refactoring,1.6.3.2010100513,"org.python.pydev.editor.actions.navigation.pyGoToDefinition",1325859879808
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325859882008
closed,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325859882008
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.close",1325859882016
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325859882761
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325859890360
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1325859895563
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1325859896119
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1325859897902
executed,command,com.python.pydev.refactoring,1.6.3.2010100513,"org.python.pydev.editor.actions.navigation.pyGoToDefinition",1325859900593
executed,command,com.python.pydev.refactoring,1.6.3.2010100513,"org.python.pydev.editor.actions.navigation.pyGoToDefinition",1325859901682
executed,command,com.python.pydev.refactoring,1.6.3.2010100513,"org.python.pydev.editor.actions.navigation.pyGoToDefinition",1325859902203
executed,command,com.python.pydev.refactoring,1.6.3.2010100513,"org.python.pydev.editor.actions.navigation.pyGoToDefinition",1325859902423
executed,command,com.python.pydev.refactoring,1.6.3.2010100513,"org.python.pydev.editor.actions.navigation.pyGoToDefinition",1325859902634
executed,command,com.python.pydev.refactoring,1.6.3.2010100513,"org.python.pydev.editor.actions.navigation.pyGoToDefinition",1325859902836
activated,view,org.python.pydev,1.6.3.2010100513,"org.python.pydev.navigator.view",1325859906182
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1325859907781
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1325859911807
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325859913534
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325859987563
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860000576
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860221484
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860226084
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860234991
activated,view,org.python.pydev,1.6.3.2010100513,"org.python.pydev.navigator.view",1325860236800
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325860237036
activated,view,org.python.pydev,1.6.3.2010100513,"org.python.pydev.navigator.view",1325860245981
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325860253432
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860258622
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860326847
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325860334250
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325860336016
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860339637
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860360403
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860362190
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860433769
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860439432
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860440603
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860447214
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860505191
activated,view,org.python.pydev,1.6.3.2010100513,"org.python.pydev.navigator.view",1325860506891
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325860507162
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860531467
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860596777
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325860598689
