what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325856809926
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325856864633
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325856870925
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325856936618
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325856938142
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857250300
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857257836
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1325857264410
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857265724
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857267305
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857271938
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857277644
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1325857278779
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1325857280217
started,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1325857280371
started,bundle,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.ui",1325857280373
started,bundle,org.eclipse.wst.css.core,1.1.401.v201008161749,"org.eclipse.wst.css.core",1325857280637
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1325857280654
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.ui",1325857280704
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1325857281010
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.core",1325857281043
started,bundle,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.ui",1325857281268
started,bundle,org.eclipse.jst.jsp.core,1.2.302.v201008251735,"org.eclipse.jst.jsp.core",1325857281353
started,bundle,org.eclipse.jst.jsf.common,1.2.0.v20100604,"org.eclipse.jst.jsf.common",1325857281464
started,bundle,org.eclipse.jst.jsf.core,1.3.0.v20100602,"org.eclipse.jst.jsf.core",1325857281474
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1325857281474
started,bundle,org.eclipse.jst.jsf.ui,1.3.0.v20100525,"org.eclipse.jst.jsf.ui",1325857281514
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1325857281723
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1325857281724
started,bundle,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.ui",1325857281795
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1325857282706
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1325857282786
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1325857283128
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857283198
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857283440
started,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1325857283925
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857285303
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857286057
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857289748
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1325857290669
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1325857291579
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857294560
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857339768
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1325857345032
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857348525
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857357554
activated,view,org.python.pydev,1.6.3.2010100513,"org.python.pydev.navigator.view",1325857358857
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857359391
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1325857360265
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857362071
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1325857362083
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.rename",1325857362083
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857367638
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857373346
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1325857376067
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857393317
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857430322
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857438311
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857441808
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857463228
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1325857676073
