what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.close",1326199923607
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1326199930689
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1326199931782
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326199934159
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326199941793
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326199945875
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1326199949461
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1326199950549
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326199951807
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326200028466
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326200029826
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1326200031933
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1326200034788
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326200037686
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326200041404
activated,view,org.python.pydev,1.6.3.2010100513,"org.python.pydev.navigator.view",1326200042841
opened,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326200043139
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326200043259
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326200053704
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1326200059775
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1326200060005
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1326200060360
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1326200061404
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326200066979
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326200069563
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326200070401
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1326200071348
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1326200073487
