what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1326203907984
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326203921854
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326203923648
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326203924980
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1326203925760
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1326203926846
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326203927782
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326203975024
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326203975691
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326203997928
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326203998581
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1326203998621
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1326203998938
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204000650
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326204000684
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204001567
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204009012
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204009941
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204017739
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204018669
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1326204019066
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204029574
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204031213
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204035679
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1326204039568
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204045194
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204051374
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204053646
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204062821
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326204073061
error,log,,,"Too Many matches (321) were found for the requested token:name",1326204075006
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204075020
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204076496
executed,command,com.python.pydev.refactoring,1.6.3.2010100513,"org.python.pydev.editor.actions.navigation.pyGoToDefinition",1326204076507
activated,view,org.python.pydev,1.6.3.2010100513,"org.python.pydev.navigator.view",1326204089837
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326204090323
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326204093618
closed,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326204093618
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204099710
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204133309
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204137023
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204138164
opened,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326204151050
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326204151203
executed,command,com.python.pydev.refactoring,1.6.3.2010100513,"org.python.pydev.editor.actions.navigation.pyGoToDefinition",1326204151207
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204159849
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1326204159904
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1326204160132
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204171781
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204178253
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204191083
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204194293
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326204301128
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1326204310624
