what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1326201466937
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1326201467287
activated,view,org.python.pydev,1.6.3.2010100513,"org.python.pydev.navigator.view",1326201468961
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1326201469284
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326201472168
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326201472217
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1326201472221
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326201473570
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326201474469
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326201475029
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326201539344
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1326201539815
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1326201540535
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326201540938
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1326201541001
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1326201541232
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326201543070
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326201543553
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326201611271
activated,view,org.python.pydev,1.6.3.2010100513,"org.python.pydev.navigator.view",1326201616870
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326201617199
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1326201617959
